response_id,time,regularly_play,total_hours_played
R_1FmqwzhhGgMovg2,after,yes,30
R_6kZae0087zktvOx,before,yes,15
R_6kZae0087zktvOx,after,yes,30
R_24isskypHAzj6a4,before,yes,8
R_24isskypHAzj6a4,after,yes,40
R_b25c1SzzqBXhNlf,before,yes,30
R_b25c1SzzqBXhNlf,after,yes,46
R_1nSWaU6aHeoCVz1,before,yes,2
R_1nSWaU6aHeoCVz1,after,yes,15
R_2XcEmd1YzcIXw1Y,before,yes,0
R_2XcEmd1YzcIXw1Y,after,yes,30
R_3KCvZebmGxmSVat,before,yes,42
R_3KCvZebmGxmSVat,after,yes,28
R_2TSJxMqN9gOlUOV,before,yes,36
R_2TSJxMqN9gOlUOV,after,yes,50
R_3jV6I52yPFAZ8oy,before,yes,27
R_3jV6I52yPFAZ8oy,after,yes,31
R_1E5vpihv0BCn2Jo,before,yes,31
R_1E5vpihv0BCn2Jo,after,yes,40
R_2UVJlgmzYG5Xn9P,before,yes,0
R_2UVJlgmzYG5Xn9P,after,yes,0
R_3asqcGii6ulHk9X,before,yes,13
R_3asqcGii6ulHk9X,after,yes,30
R_2947NV0sa0o6uqa,before,yes,30
R_2947NV0sa0o6uqa,after,yes,75
R_1Nady9hvbIvDcLg,before,yes,21
R_1Nady9hvbIvDcLg,after,yes,30
R_1N9QWsuqE4dwJj0,before,yes,50
R_1N9QWsuqE4dwJj0,after,yes,0
R_SIf4380kHiu7wAh,before,yes,11
R_SIf4380kHiu7wAh,after,yes,6
R_217aRM2HjOL4rwC,before,yes,15
R_217aRM2HjOL4rwC,after,yes,0
R_1DtGqgKOtlhl4vS,before,yes,75
R_1DtGqgKOtlhl4vS,after,yes,60
R_2DUjHNE8XFxwngK,before,no,0
R_2DUjHNE8XFxwngK,after,no,0
R_3MRUJRa1S8L3skj,before,yes,15
R_3MRUJRa1S8L3skj,after,no,0
R_UuOGjA6wOYIRHUt,before,yes,40
R_UuOGjA6wOYIRHUt,after,yes,80
R_1eqNc6OUIYqj3s8,before,yes,40
R_1eqNc6OUIYqj3s8,after,yes,64
R_3koLHqG1bLK3yy5,before,yes,8
R_3koLHqG1bLK3yy5,after,yes,30
R_2qrC4O6fVkjwiry,before,yes,20
R_2qrC4O6fVkjwiry,after,yes,5
R_31uPOPILKqOF5Z3,before,no,0
R_31uPOPILKqOF5Z3,after,yes,10
R_ZxG3FMCz1l6uJd7,before,yes,9
R_ZxG3FMCz1l6uJd7,after,yes,7
R_SUcU46CryPkShsR,before,yes,40
R_SUcU46CryPkShsR,after,yes,55
R_1cSrZsKJbMLVpfn,before,yes,10
R_1cSrZsKJbMLVpfn,after,yes,35
R_3e1VGffpt89tw8h,before,yes,25
R_3e1VGffpt89tw8h,after,yes,45
R_25z3VIIwpNMoGjS,before,yes,25
R_25z3VIIwpNMoGjS,after,yes,34
R_3pajSVQnjGXyVpt,before,yes,8
R_3pajSVQnjGXyVpt,after,yes,45
R_2TG0VS1cyTZTOII,before,yes,10
R_2TG0VS1cyTZTOII,after,yes,15
R_3fTa3QYnPZpSeen,before,no,0
R_3fTa3QYnPZpSeen,after,yes,0
R_2vZKXOkrXwQOPM0,before,yes,35
R_2vZKXOkrXwQOPM0,after,yes,40
R_1OIk0siawnKDTiy,before,yes,20
R_1OIk0siawnKDTiy,after,yes,50
R_1mIvz4scUnVKLx7,before,yes,5
