response_id,time,regularly_play,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,hours_1,hours_2,hours_3,hours_4,hours_5,hours_6,hours_7,hours_8,hours_9,total_hours,total_percent,single_multi_1,single_multi_2,single_multi_3,single_multi_4,single_multi_5,single_multi_6,single_multi_7,single_multi_8,single_multi_9
R_2bVGOK2omxjKHpn,after,yes,0,0,5,55,0,0,0,0,40,0,0,0.5,5.5,0,0,0,0,4,10,100,NA,NA,alone,alone,NA,alone,NA,NA,NA
R_3ne0xvsnUk3Dg2b,before,yes,0,20,50,20,0,10,0,0,0,0,9.8,24.5,9.8,0,4.9,0,0,0,49,100,alone,alone,alone,alone,alone,alone,alone,NA,NA
R_3ne0xvsnUk3Dg2b,after,yes,0,10,60,20,5,5,0,0,0,0,6.5,39,13,3.25,3.25,0,0,0,65,100,alone,alone,alone,alone,alone,alone,alone,alone,alone
R_33m18XGfnq4Vj9o,before,yes,0,90,0,0,0,10,0,0,0,0,54,0,0,0,6,0,0,0,60,100,NA,multiplayer,NA,NA,NA,alone,NA,NA,NA
R_33m18XGfnq4Vj9o,after,yes,0,90,0,0,0,10,0,0,0,0,54,0,0,0,6,0,0,0,60,100,NA,multiplayer,NA,NA,NA,alone,NA,NA,NA
R_2YyT0OjStuntyXf,before,yes,0,15,45,0,0,40,0,0,0,0,6,18,0,0,16,0,0,0,40,100,alone,multiplayer,alone,alone,alone,alone,alone,alone,NA
R_2YyT0OjStuntyXf,after,yes,0,30,20,10,0,20,0,20,0,0,6,4,2,0,4,0,4,0,20,100,NA,alone,alone,alone,NA,alone,NA,alone,NA
R_2QzW5HTDKSQoIdW,before,yes,0,0,0,100,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,100,alone,NA,NA,alone,NA,NA,NA,NA,NA
R_2QzW5HTDKSQoIdW,after,yes,0,0,0,100,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,100,NA,NA,NA,alone,NA,NA,NA,NA,NA
R_1PYHLXLRtVtLKCC,before,yes,0,30,0,10,0,60,0,0,0,0,6,0,2,0,12,0,0,0,20,100,NA,multiplayer,alone,multiplayer,NA,alone,NA,NA,NA
R_1PYHLXLRtVtLKCC,after,yes,0,20,0,10,0,70,0,0,0,0,4.4,0,2.2,0,15.4,0,0,0,22,100,NA,multiplayer,alone,multiplayer,NA,alone,NA,NA,NA
