response_id,lockdown_period,subscale,item,score
R_1DM7yYCOiYR4ya2,during,integrated_regulation,5,6
R_1DM7yYCOiYR4ya2,during,integrated_regulation,6,5
R_1DM7yYCOiYR4ya2,during,identified_regulation,7,5
R_1DM7yYCOiYR4ya2,during,identified_regulation,8,5
R_1DM7yYCOiYR4ya2,during,identified_regulation,9,6
R_1DM7yYCOiYR4ya2,during,introjected_regulation,10,3
R_1DM7yYCOiYR4ya2,during,introjected_regulation,11,4
R_1DM7yYCOiYR4ya2,during,introjected_regulation,12,2
R_1DM7yYCOiYR4ya2,during,external_regulation,13,4
R_1DM7yYCOiYR4ya2,during,external_regulation,14,5
R_1DM7yYCOiYR4ya2,during,external_regulation,15,5
R_1DM7yYCOiYR4ya2,during,amotivation,16,1
R_1DM7yYCOiYR4ya2,during,amotivation,17,1
R_1DM7yYCOiYR4ya2,during,amotivation,18,1
R_A672rfL6ej9Rq8h,before,instrinsic_motivation,1,NA
R_A672rfL6ej9Rq8h,before,instrinsic_motivation,2,NA
R_A672rfL6ej9Rq8h,before,instrinsic_motivation,3,NA
R_A672rfL6ej9Rq8h,before,integrated_regulation,4,NA
R_A672rfL6ej9Rq8h,before,integrated_regulation,5,NA
R_A672rfL6ej9Rq8h,before,integrated_regulation,6,NA
R_A672rfL6ej9Rq8h,before,identified_regulation,7,NA
R_A672rfL6ej9Rq8h,before,identified_regulation,8,NA
R_A672rfL6ej9Rq8h,before,identified_regulation,9,NA
R_A672rfL6ej9Rq8h,before,introjected_regulation,10,NA
R_A672rfL6ej9Rq8h,before,introjected_regulation,11,NA
R_A672rfL6ej9Rq8h,before,introjected_regulation,12,NA
R_A672rfL6ej9Rq8h,before,external_regulation,13,NA
R_A672rfL6ej9Rq8h,before,external_regulation,14,NA
R_A672rfL6ej9Rq8h,before,external_regulation,15,NA
R_A672rfL6ej9Rq8h,before,amotivation,16,NA
R_A672rfL6ej9Rq8h,before,amotivation,17,NA
R_A672rfL6ej9Rq8h,before,amotivation,18,NA
R_A672rfL6ej9Rq8h,during,instrinsic_motivation,1,4
R_A672rfL6ej9Rq8h,during,instrinsic_motivation,2,4
R_A672rfL6ej9Rq8h,during,instrinsic_motivation,3,4
R_A672rfL6ej9Rq8h,during,integrated_regulation,4,4
R_A672rfL6ej9Rq8h,during,integrated_regulation,5,3
R_A672rfL6ej9Rq8h,during,integrated_regulation,6,2
R_A672rfL6ej9Rq8h,during,identified_regulation,7,2
R_A672rfL6ej9Rq8h,during,identified_regulation,8,2
R_A672rfL6ej9Rq8h,during,identified_regulation,9,2
R_A672rfL6ej9Rq8h,during,introjected_regulation,10,4
R_A672rfL6ej9Rq8h,during,introjected_regulation,11,4
R_A672rfL6ej9Rq8h,during,introjected_regulation,12,3
R_A672rfL6ej9Rq8h,during,external_regulation,13,4
R_A672rfL6ej9Rq8h,during,external_regulation,14,3
R_A672rfL6ej9Rq8h,during,external_regulation,15,4
R_A672rfL6ej9Rq8h,during,amotivation,16,4
R_A672rfL6ej9Rq8h,during,amotivation,17,4
R_A672rfL6ej9Rq8h,during,amotivation,18,3
R_3nIcJNaem29eD3m,before,instrinsic_motivation,1,4
R_3nIcJNaem29eD3m,before,instrinsic_motivation,2,5
R_3nIcJNaem29eD3m,before,instrinsic_motivation,3,4
R_3nIcJNaem29eD3m,before,integrated_regulation,4,4
R_3nIcJNaem29eD3m,before,integrated_regulation,5,4
R_3nIcJNaem29eD3m,before,integrated_regulation,6,4
R_3nIcJNaem29eD3m,before,identified_regulation,7,4
R_3nIcJNaem29eD3m,before,identified_regulation,8,3
R_3nIcJNaem29eD3m,before,identified_regulation,9,4
R_3nIcJNaem29eD3m,before,introjected_regulation,10,2
R_3nIcJNaem29eD3m,before,introjected_regulation,11,2
R_3nIcJNaem29eD3m,before,introjected_regulation,12,2
R_3nIcJNaem29eD3m,before,external_regulation,13,5
R_3nIcJNaem29eD3m,before,external_regulation,14,5
R_3nIcJNaem29eD3m,before,external_regulation,15,5
R_3nIcJNaem29eD3m,before,amotivation,16,1
R_3nIcJNaem29eD3m,before,amotivation,17,1
R_3nIcJNaem29eD3m,before,amotivation,18,1
R_3nIcJNaem29eD3m,during,instrinsic_motivation,1,4
R_3nIcJNaem29eD3m,during,instrinsic_motivation,2,4
R_3nIcJNaem29eD3m,during,instrinsic_motivation,3,4
R_3nIcJNaem29eD3m,during,integrated_regulation,4,3
R_3nIcJNaem29eD3m,during,integrated_regulation,5,3
R_3nIcJNaem29eD3m,during,integrated_regulation,6,4
R_3nIcJNaem29eD3m,during,identified_regulation,7,3
R_3nIcJNaem29eD3m,during,identified_regulation,8,3
R_3nIcJNaem29eD3m,during,identified_regulation,9,4
R_3nIcJNaem29eD3m,during,introjected_regulation,10,3
R_3nIcJNaem29eD3m,during,introjected_regulation,11,3
R_3nIcJNaem29eD3m,during,introjected_regulation,12,2
R_3nIcJNaem29eD3m,during,external_regulation,13,5
R_3nIcJNaem29eD3m,during,external_regulation,14,4
R_3nIcJNaem29eD3m,during,external_regulation,15,4
R_3nIcJNaem29eD3m,during,amotivation,16,1
R_3nIcJNaem29eD3m,during,amotivation,17,1
R_3nIcJNaem29eD3m,during,amotivation,18,1
R_3IXNsI0MDPSrAEU,before,instrinsic_motivation,1,6
R_3IXNsI0MDPSrAEU,before,instrinsic_motivation,2,6
R_3IXNsI0MDPSrAEU,before,instrinsic_motivation,3,6
R_3IXNsI0MDPSrAEU,before,integrated_regulation,4,6
R_3IXNsI0MDPSrAEU,before,integrated_regulation,5,6
R_3IXNsI0MDPSrAEU,before,integrated_regulation,6,6
R_3IXNsI0MDPSrAEU,before,identified_regulation,7,6
R_3IXNsI0MDPSrAEU,before,identified_regulation,8,4
R_3IXNsI0MDPSrAEU,before,identified_regulation,9,5
R_3IXNsI0MDPSrAEU,before,introjected_regulation,10,4
R_3IXNsI0MDPSrAEU,before,introjected_regulation,11,3
R_3IXNsI0MDPSrAEU,before,introjected_regulation,12,3
R_3IXNsI0MDPSrAEU,before,external_regulation,13,3
R_3IXNsI0MDPSrAEU,before,external_regulation,14,2
R_3IXNsI0MDPSrAEU,before,external_regulation,15,4
R_3IXNsI0MDPSrAEU,before,amotivation,16,1
R_3IXNsI0MDPSrAEU,before,amotivation,17,1
R_3IXNsI0MDPSrAEU,before,amotivation,18,1
R_3IXNsI0MDPSrAEU,during,instrinsic_motivation,1,6
R_3IXNsI0MDPSrAEU,during,instrinsic_motivation,2,6
R_3IXNsI0MDPSrAEU,during,instrinsic_motivation,3,6
R_3IXNsI0MDPSrAEU,during,integrated_regulation,4,6
R_3IXNsI0MDPSrAEU,during,integrated_regulation,5,6
R_3IXNsI0MDPSrAEU,during,integrated_regulation,6,6
R_3IXNsI0MDPSrAEU,during,identified_regulation,7,6
R_3IXNsI0MDPSrAEU,during,identified_regulation,8,6
R_3IXNsI0MDPSrAEU,during,identified_regulation,9,5
R_3IXNsI0MDPSrAEU,during,introjected_regulation,10,4
R_3IXNsI0MDPSrAEU,during,introjected_regulation,11,3
R_3IXNsI0MDPSrAEU,during,introjected_regulation,12,3
R_3IXNsI0MDPSrAEU,during,external_regulation,13,4
R_3IXNsI0MDPSrAEU,during,external_regulation,14,3
R_3IXNsI0MDPSrAEU,during,external_regulation,15,4
R_3IXNsI0MDPSrAEU,during,amotivation,16,1
R_3IXNsI0MDPSrAEU,during,amotivation,17,1
R_3IXNsI0MDPSrAEU,during,amotivation,18,1
R_3mltujcfVRDBFwo,before,instrinsic_motivation,1,NA
R_3mltujcfVRDBFwo,before,instrinsic_motivation,2,NA
R_3mltujcfVRDBFwo,before,instrinsic_motivation,3,NA
R_3mltujcfVRDBFwo,before,integrated_regulation,4,NA
R_3mltujcfVRDBFwo,before,integrated_regulation,5,NA
R_3mltujcfVRDBFwo,before,integrated_regulation,6,NA
R_3mltujcfVRDBFwo,before,identified_regulation,7,NA
R_3mltujcfVRDBFwo,before,identified_regulation,8,NA
R_3mltujcfVRDBFwo,before,identified_regulation,9,NA
R_3mltujcfVRDBFwo,before,introjected_regulation,10,NA
R_3mltujcfVRDBFwo,before,introjected_regulation,11,NA
R_3mltujcfVRDBFwo,before,introjected_regulation,12,NA
R_3mltujcfVRDBFwo,before,external_regulation,13,NA
R_3mltujcfVRDBFwo,before,external_regulation,14,NA
R_3mltujcfVRDBFwo,before,external_regulation,15,NA
R_3mltujcfVRDBFwo,before,amotivation,16,NA
