response_id,regularly_watch_before,type,time,hours
R_5AVWI45K9Om73Gh,no,hours_interacting_watching_after,duplicate,NA
R_0xNlcN3NDWsWFsl,NA,hours_watching,before,NA
R_0xNlcN3NDWsWFsl,NA,hours_watching_before,duplicate,NA
R_0xNlcN3NDWsWFsl,NA,hours_watching,after,2
R_0xNlcN3NDWsWFsl,NA,hours_interacting_watching,after,NA
R_0xNlcN3NDWsWFsl,NA,hours_interacting_watching_after,duplicate,NA
R_2ZNqbe16jkaSqDs,yes,hours_watching,before,50
R_2ZNqbe16jkaSqDs,yes,hours_watching_before,duplicate,52
R_2ZNqbe16jkaSqDs,yes,hours_watching,after,1
R_2ZNqbe16jkaSqDs,yes,hours_interacting_watching,after,61
R_2ZNqbe16jkaSqDs,yes,hours_interacting_watching_after,duplicate,49
R_1jwyyqW3BkMXKqC,yes,hours_watching,before,35
R_1jwyyqW3BkMXKqC,yes,hours_watching_before,duplicate,34
R_1jwyyqW3BkMXKqC,yes,hours_watching,after,1
R_1jwyyqW3BkMXKqC,yes,hours_interacting_watching,after,35
R_1jwyyqW3BkMXKqC,yes,hours_interacting_watching_after,duplicate,19
R_3Dhl5RDE5WPkhjZ,NA,hours_watching,before,NA
R_3Dhl5RDE5WPkhjZ,NA,hours_watching_before,duplicate,NA
R_3Dhl5RDE5WPkhjZ,NA,hours_watching,after,1
R_3Dhl5RDE5WPkhjZ,NA,hours_interacting_watching,after,0
R_3Dhl5RDE5WPkhjZ,NA,hours_interacting_watching_after,duplicate,NA
R_82Cae0gGCtZlvZD,no,hours_watching,before,NA
R_82Cae0gGCtZlvZD,no,hours_watching_before,duplicate,NA
R_82Cae0gGCtZlvZD,no,hours_watching,after,2
R_82Cae0gGCtZlvZD,no,hours_interacting_watching,after,NA
R_82Cae0gGCtZlvZD,no,hours_interacting_watching_after,duplicate,NA
R_0Iq1QihJbkIZGG5,yes,hours_watching,before,3
R_0Iq1QihJbkIZGG5,yes,hours_watching_before,duplicate,2
R_0Iq1QihJbkIZGG5,yes,hours_watching,after,1
R_0Iq1QihJbkIZGG5,yes,hours_interacting_watching,after,4
R_0Iq1QihJbkIZGG5,yes,hours_interacting_watching_after,duplicate,6
R_XYYWZaTga3BEXdL,yes,hours_watching,before,3
R_XYYWZaTga3BEXdL,yes,hours_watching_before,duplicate,3
R_XYYWZaTga3BEXdL,yes,hours_watching,after,1
R_XYYWZaTga3BEXdL,yes,hours_interacting_watching,after,0
R_XYYWZaTga3BEXdL,yes,hours_interacting_watching_after,duplicate,0
R_31BhgcJAtt4udIx,yes,hours_watching,before,15
R_31BhgcJAtt4udIx,yes,hours_watching_before,duplicate,15
R_31BhgcJAtt4udIx,yes,hours_watching,after,1
R_31BhgcJAtt4udIx,yes,hours_interacting_watching,after,15
R_31BhgcJAtt4udIx,yes,hours_interacting_watching_after,duplicate,15
R_O22BvtbesSiM9H3,yes,hours_watching,before,20
R_O22BvtbesSiM9H3,yes,hours_watching_before,duplicate,15
R_O22BvtbesSiM9H3,yes,hours_watching,after,1
R_O22BvtbesSiM9H3,yes,hours_interacting_watching,after,8
R_O22BvtbesSiM9H3,yes,hours_interacting_watching_after,duplicate,1
R_22Q9Iw4NYMriVYz,no,hours_watching,before,NA
R_22Q9Iw4NYMriVYz,no,hours_watching_before,duplicate,NA
R_22Q9Iw4NYMriVYz,no,hours_watching,after,2
R_22Q9Iw4NYMriVYz,no,hours_interacting_watching,after,NA
R_22Q9Iw4NYMriVYz,no,hours_interacting_watching_after,duplicate,NA
R_V213xJcCci8mpHj,no,hours_watching,before,NA
R_V213xJcCci8mpHj,no,hours_watching_before,duplicate,NA
R_V213xJcCci8mpHj,no,hours_watching,after,2
R_V213xJcCci8mpHj,no,hours_interacting_watching,after,15
R_V213xJcCci8mpHj,no,hours_interacting_watching_after,duplicate,NA
R_3QM1yoXPn1WIPIp,NA,hours_watching,before,NA
R_3QM1yoXPn1WIPIp,NA,hours_watching_before,duplicate,NA
R_3QM1yoXPn1WIPIp,NA,hours_watching,after,2
R_3QM1yoXPn1WIPIp,NA,hours_interacting_watching,after,30
R_3QM1yoXPn1WIPIp,NA,hours_interacting_watching_after,duplicate,NA
R_O9VAqYUDUshWv73,NA,hours_watching,before,NA
R_O9VAqYUDUshWv73,NA,hours_watching_before,duplicate,NA
R_O9VAqYUDUshWv73,NA,hours_watching,after,2
R_O9VAqYUDUshWv73,NA,hours_interacting_watching,after,NA
R_O9VAqYUDUshWv73,NA,hours_interacting_watching_after,duplicate,NA
R_2ANDY1UL9QHh0bt,no,hours_watching,before,NA
R_2ANDY1UL9QHh0bt,no,hours_watching_before,duplicate,NA
R_2ANDY1UL9QHh0bt,no,hours_watching,after,2
R_2ANDY1UL9QHh0bt,no,hours_interacting_watching,after,NA
R_2ANDY1UL9QHh0bt,no,hours_interacting_watching_after,duplicate,NA
R_3PNeMMqpSuzFgK6,yes,hours_watching,before,2
R_3PNeMMqpSuzFgK6,yes,hours_watching_before,duplicate,2
R_3PNeMMqpSuzFgK6,yes,hours_watching,after,2
R_3PNeMMqpSuzFgK6,yes,hours_interacting_watching,after,0
R_3PNeMMqpSuzFgK6,yes,hours_interacting_watching_after,duplicate,NA
R_2fjoBMWdN1ICH1c,NA,hours_watching,before,NA
R_2fjoBMWdN1ICH1c,NA,hours_watching_before,duplicate,NA
R_2fjoBMWdN1ICH1c,NA,hours_watching,after,1
R_2fjoBMWdN1ICH1c,NA,hours_interacting_watching,after,2
R_2fjoBMWdN1ICH1c,NA,hours_interacting_watching_after,duplicate,9
R_p59dkfQNljmhosh,NA,hours_watching,before,NA
R_p59dkfQNljmhosh,NA,hours_watching_before,duplicate,NA
R_p59dkfQNljmhosh,NA,hours_watching,after,2
R_p59dkfQNljmhosh,NA,hours_interacting_watching,after,NA
R_p59dkfQNljmhosh,NA,hours_interacting_watching_after,duplicate,NA
R_6nxz0eKfNc1cdKF,no,hours_watching,before,NA
R_6nxz0eKfNc1cdKF,no,hours_watching_before,duplicate,NA
R_6nxz0eKfNc1cdKF,no,hours_watching,after,2
R_6nxz0eKfNc1cdKF,no,hours_interacting_watching,after,NA
R_6nxz0eKfNc1cdKF,no,hours_interacting_watching_after,duplicate,NA
R_1Ghi9cuDLyS5Fvj,no,hours_watching,before,NA
R_1Ghi9cuDLyS5Fvj,no,hours_watching_before,duplicate,NA
R_1Ghi9cuDLyS5Fvj,no,hours_watching,after,2
R_1Ghi9cuDLyS5Fvj,no,hours_interacting_watching,after,NA
R_1Ghi9cuDLyS5Fvj,no,hours_interacting_watching_after,duplicate,NA
R_2ri38po4P4fnJtK,no,hours_watching,before,NA
R_2ri38po4P4fnJtK,no,hours_watching_before,duplicate,NA
R_2ri38po4P4fnJtK,no,hours_watching,after,2
R_2ri38po4P4fnJtK,no,hours_interacting_watching,after,NA
R_2ri38po4P4fnJtK,no,hours_interacting_watching_after,duplicate,NA
R_zSuKsNMuq2O2oA9,no,hours_watching,before,NA
R_zSuKsNMuq2O2oA9,no,hours_watching_before,duplicate,NA
R_zSuKsNMuq2O2oA9,no,hours_watching,after,2
R_zSuKsNMuq2O2oA9,no,hours_interacting_watching,after,NA
R_zSuKsNMuq2O2oA9,no,hours_interacting_watching_after,duplicate,NA
R_2Y3vSpPmQtCUg27,no,hours_watching,before,NA
R_2Y3vSpPmQtCUg27,no,hours_watching_before,duplicate,NA
R_2Y3vSpPmQtCUg27,no,hours_watching,after,2
R_2Y3vSpPmQtCUg27,no,hours_interacting_watching,after,NA
R_2Y3vSpPmQtCUg27,no,hours_interacting_watching_after,duplicate,NA
R_cTMYr4InmqWqxyx,NA,hours_watching,before,NA
R_cTMYr4InmqWqxyx,NA,hours_watching_before,duplicate,NA
R_cTMYr4InmqWqxyx,NA,hours_watching,after,2
R_cTMYr4InmqWqxyx,NA,hours_interacting_watching,after,NA
R_cTMYr4InmqWqxyx,NA,hours_interacting_watching_after,duplicate,NA
R_Ub92pGLz1xv4fbr,no,hours_watching,before,NA
R_Ub92pGLz1xv4fbr,no,hours_watching_before,duplicate,NA
R_Ub92pGLz1xv4fbr,no,hours_watching,after,1
R_Ub92pGLz1xv4fbr,no,hours_interacting_watching,after,NA
R_Ub92pGLz1xv4fbr,no,hours_interacting_watching_after,duplicate,NA
R_2WUWSPXQGpkoYiQ,no,hours_watching,before,NA
R_2WUWSPXQGpkoYiQ,no,hours_watching_before,duplicate,NA
R_2WUWSPXQGpkoYiQ,no,hours_watching,after,2
R_2WUWSPXQGpkoYiQ,no,hours_interacting_watching,after,0
R_2WUWSPXQGpkoYiQ,no,hours_interacting_watching_after,duplicate,NA
R_1GTWJReePx9Mt0Y,no,hours_watching,before,NA
R_1GTWJReePx9Mt0Y,no,hours_watching_before,duplicate,NA
R_1GTWJReePx9Mt0Y,no,hours_watching,after,2
R_1GTWJReePx9Mt0Y,no,hours_interacting_watching,after,0
R_1GTWJReePx9Mt0Y,no,hours_interacting_watching_after,duplicate,NA
R_3HIxxqBts6Z0OZO,no,hours_watching,before,NA
R_3HIxxqBts6Z0OZO,no,hours_watching_before,duplicate,NA
R_3HIxxqBts6Z0OZO,no,hours_watching,after,2
R_3HIxxqBts6Z0OZO,no,hours_interacting_watching,after,NA
R_3HIxxqBts6Z0OZO,no,hours_interacting_watching_after,duplicate,NA
R_2VsTI6YcrvQkU00,yes,hours_watching,before,35
R_2VsTI6YcrvQkU00,yes,hours_watching_before,duplicate,35
R_2VsTI6YcrvQkU00,yes,hours_watching,after,1
R_2VsTI6YcrvQkU00,yes,hours_interacting_watching,after,60
R_2VsTI6YcrvQkU00,yes,hours_interacting_watching_after,duplicate,60
R_bl5z1a8F19q4rol,no,hours_watching,before,NA
R_bl5z1a8F19q4rol,no,hours_watching_before,duplicate,NA
R_bl5z1a8F19q4rol,no,hours_watching,after,2
R_bl5z1a8F19q4rol,no,hours_interacting_watching,after,NA
R_bl5z1a8F19q4rol,no,hours_interacting_watching_after,duplicate,NA
R_2riPjmHJ1ujE2AI,no,hours_watching,before,NA
R_2riPjmHJ1ujE2AI,no,hours_watching_before,duplicate,NA
R_2riPjmHJ1ujE2AI,no,hours_watching,after,2
R_2riPjmHJ1ujE2AI,no,hours_interacting_watching,after,NA
R_2riPjmHJ1ujE2AI,no,hours_interacting_watching_after,duplicate,NA
R_237akAEwp1ZNQtX,yes,hours_watching,before,25
R_237akAEwp1ZNQtX,yes,hours_watching_before,duplicate,25
R_237akAEwp1ZNQtX,yes,hours_watching,after,1
R_237akAEwp1ZNQtX,yes,hours_interacting_watching,after,24
R_237akAEwp1ZNQtX,yes,hours_interacting_watching_after,duplicate,18
R_28YlGk4KWcNC1Hz,yes,hours_watching,before,14
R_28YlGk4KWcNC1Hz,yes,hours_watching_before,duplicate,33
R_28YlGk4KWcNC1Hz,yes,hours_watching,after,1
R_28YlGk4KWcNC1Hz,yes,hours_interacting_watching,after,10
R_28YlGk4KWcNC1Hz,yes,hours_interacting_watching_after,duplicate,10
R_1l3QaBdaMZAzDNc,yes,hours_watching,before,2
R_1l3QaBdaMZAzDNc,yes,hours_watching_before,duplicate,2
R_1l3QaBdaMZAzDNc,yes,hours_watching,after,1
R_1l3QaBdaMZAzDNc,yes,hours_interacting_watching,after,2
R_1l3QaBdaMZAzDNc,yes,hours_interacting_watching_after,duplicate,2
R_WkD2Xf1StVlY1k5,no,hours_watching,before,NA
R_WkD2Xf1StVlY1k5,no,hours_watching_before,duplicate,NA
R_WkD2Xf1StVlY1k5,no,hours_watching,after,2
R_WkD2Xf1StVlY1k5,no,hours_interacting_watching,after,NA
R_WkD2Xf1StVlY1k5,no,hours_interacting_watching_after,duplicate,NA
R_3e2GBC1tsXm5UH9,yes,hours_watching,before,5
R_3e2GBC1tsXm5UH9,yes,hours_watching_before,duplicate,5
R_3e2GBC1tsXm5UH9,yes,hours_watching,after,2
R_3e2GBC1tsXm5UH9,yes,hours_interacting_watching,after,0
R_3e2GBC1tsXm5UH9,yes,hours_interacting_watching_after,duplicate,NA
R_5A6WR2APgRZFueJ,no,hours_watching,before,NA
R_5A6WR2APgRZFueJ,no,hours_watching_before,duplicate,NA
R_5A6WR2APgRZFueJ,no,hours_watching,after,2
R_5A6WR2APgRZFueJ,no,hours_interacting_watching,after,NA
R_5A6WR2APgRZFueJ,no,hours_interacting_watching_after,duplicate,NA
R_1OGOApUcrgQ9PDV,NA,hours_watching,before,NA
R_1OGOApUcrgQ9PDV,NA,hours_watching_before,duplicate,NA
R_1OGOApUcrgQ9PDV,NA,hours_watching,after,2
R_1OGOApUcrgQ9PDV,NA,hours_interacting_watching,after,3
R_1OGOApUcrgQ9PDV,NA,hours_interacting_watching_after,duplicate,NA
R_AFO5tTqn4Q8XmqB,no,hours_watching,before,NA
R_AFO5tTqn4Q8XmqB,no,hours_watching_before,duplicate,NA
R_AFO5tTqn4Q8XmqB,no,hours_watching,after,2
R_AFO5tTqn4Q8XmqB,no,hours_interacting_watching,after,NA
R_AFO5tTqn4Q8XmqB,no,hours_interacting_watching_after,duplicate,NA
R_3fiMnltHW0VY7HP,no,hours_watching,before,NA
R_3fiMnltHW0VY7HP,no,hours_watching_before,duplicate,NA
R_3fiMnltHW0VY7HP,no,hours_watching,after,2
R_3fiMnltHW0VY7HP,no,hours_interacting_watching,after,2
R_3fiMnltHW0VY7HP,no,hours_interacting_watching_after,duplicate,NA
R_2qpx286lR9fjVMC,no,hours_watching,before,NA
R_2qpx286lR9fjVMC,no,hours_watching_before,duplicate,NA
R_2qpx286lR9fjVMC,no,hours_watching,after,2
R_2qpx286lR9fjVMC,no,hours_interacting_watching,after,NA
R_2qpx286lR9fjVMC,no,hours_interacting_watching_after,duplicate,NA
R_2fy7OLb5SO3rVpk,yes,hours_watching,before,9
R_2fy7OLb5SO3rVpk,yes,hours_watching_before,duplicate,NA
R_2fy7OLb5SO3rVpk,yes,hours_watching,after,1
R_2fy7OLb5SO3rVpk,yes,hours_interacting_watching,after,22
R_2fy7OLb5SO3rVpk,yes,hours_interacting_watching_after,duplicate,NA
R_31RjR49IX1YOJ7y,NA,hours_watching,before,NA
R_31RjR49IX1YOJ7y,NA,hours_watching_before,duplicate,NA
R_31RjR49IX1YOJ7y,NA,hours_watching,after,1
R_31RjR49IX1YOJ7y,NA,hours_interacting_watching,after,0
R_31RjR49IX1YOJ7y,NA,hours_interacting_watching_after,duplicate,NA
R_yl0OHDoTCu63b7b,yes,hours_watching,before,10
R_yl0OHDoTCu63b7b,yes,hours_watching_before,duplicate,10
R_yl0OHDoTCu63b7b,yes,hours_watching,after,1
R_yl0OHDoTCu63b7b,yes,hours_interacting_watching,after,8
R_yl0OHDoTCu63b7b,yes,hours_interacting_watching_after,duplicate,NA
R_8vUJrorD6qPhNCh,no,hours_watching,before,NA
R_8vUJrorD6qPhNCh,no,hours_watching_before,duplicate,NA
R_8vUJrorD6qPhNCh,no,hours_watching,after,2
R_8vUJrorD6qPhNCh,no,hours_interacting_watching,after,NA
R_8vUJrorD6qPhNCh,no,hours_interacting_watching_after,duplicate,NA
R_Wrr9h9YwjeBoNpf,no,hours_watching,before,NA
R_Wrr9h9YwjeBoNpf,no,hours_watching_before,duplicate,NA
R_Wrr9h9YwjeBoNpf,no,hours_watching,after,2
R_Wrr9h9YwjeBoNpf,no,hours_interacting_watching,after,NA
R_Wrr9h9YwjeBoNpf,no,hours_interacting_watching_after,duplicate,NA
R_SDnvXDdPlMdrs9r,no,hours_watching,before,NA
R_SDnvXDdPlMdrs9r,no,hours_watching_before,duplicate,NA
R_SDnvXDdPlMdrs9r,no,hours_watching,after,2
R_SDnvXDdPlMdrs9r,no,hours_interacting_watching,after,NA
R_SDnvXDdPlMdrs9r,no,hours_interacting_watching_after,duplicate,NA
